Focalspecies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adleri,formosus,grammicus,horridus,mucronatus,scitulus,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parvus,cautus,cowlesi,magister,serrifer,couchii,aeneus,merriami,spinosus,microlepidotus,torquatus,olivaceus,poinsettii,cyanogenys,variabilis,bicanthalis,minor,ornatus,grammicus,consobrinus,scalaris,mucronatus,megalepidurus,,,,,,,,,,,,,,,,,,,,,,
pictus,formosus,grammicus,jalapae,gadoviae,horridus,torquatus,spinosus,microlepidotus,mucronatus,megalepidurus,variabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poinsettii,cautus,cowlesi,magister,bulleri,couchii,serrifer,merriami,spinosus,microlepidotus,torquatus,olivaceus,cyanogenys,variabilis,clarkii,consobrinus,ornatus,grammicus,minor,tristichus,scalaris,parvus,horridus,slevini,jarrovii,maculosus,virgatus,,,,,,,,,,,,,,,,,,
pyrocephalus,ochoterenae,dugesii,aeneus,grammicus,gadoviae,horridus,mucronatus,torquatus,microlepidotus,melanorhinus,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalaris,jalapae,nelsoni,melanorhinus,cautus,serrifer,bulleri,couchii,dugesii,heterolepis,aeneus,torquatus,spinosus,microlepidotus,olivaceus,poinsettii,cyanogenys,variabilis,palaciosi,clarkii,formosus,ochoterenae,bicanthalis,insignis,minor,ornatus,grammicus,parvus,horridus,jarrovii,mucronatus,megalepidurus,,,,,,,,,,,,,
scitulus,ochoterenae,formosus,grammicus,horridus,adleri,mucronatus,melanorhinus,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serrifer,jalapae,teapensis,melanorhinus,cautus,couchii,torquatus,spinosus,microlepidotus,olivaceus,poinsettii,cyanogenys,variabilis,formosus,carinatus,bicanthalis,minor,consobrinus,grammicus,ornatus,siniferus,chrysostictus,taeniocnemis,scalaris,parvus,mucronatus,megalepidurus,internasalis,,,,,,,,,,,,,,,,,
siniferus,jalapae,teapensis,melanorhinus,smithi,serrifer,gadoviae,spinosus,microlepidotus,scitulus,variabilis,ochoterenae,formosus,carinatus,edwardtaylori,bicanthalis,grammicus,adleri,smaragdinus,taeniocnemis,pyrocephalus,cryptus,squamosus,horridus,mucronatus,megalepidurus,internasalis,,,,,,,,,,,,,,,,,,
slevini,clarkii,cowlesi,magister,consobrinus,jarrovii,poinsettii,virgatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smaragdinus,taeniocnemis,carinatus,squamosus,internasalis,variabilis,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smithi,carinatus,edwardtaylori,grammicus,spinosus,microlepidotus,melanorhinus,variabilis,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinosus,jalapae,nelsoni,melanorhinus,smithi,cautus,serrifer,couchii,dugesii,aeneus,gadoviae,torquatus,microlepidotus,olivaceus,poinsettii,cyanogenys,variabilis,palaciosi,ochoterenae,formosus,clarkii,bicanthalis,edwardtaylori,minor,ornatus,grammicus,subpictus,scalaris,parvus,horridus,pictus,mucronatus,megalepidurus,siniferus,,,,,,,,,,,
squamosus,carinatus,siniferus,smaragdinus,malachiticus,variabilis,internasalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subpictus,formosus,grammicus,jalapae,spinosus,mucronatus,megalepidurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
